song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
1761,The Wizard and I (Live),Ariana Grande,10,13,14,14,13,28,29,14,9,17
1806,​god is a woman (live),Ariana Grande,5,7,2,7,7,11,13,4,2,8
1805,​r.e.m (live),Ariana Grande,4,6,5,7,5,8,11,5,2,6
1804,Let It Rain,Ariana Grande,2,4,1,2,5,3,9,3,4,4
1798,Suitcase,Ariana Grande,6,6,4,9,6,17,18,12,2,8
1796,​side to side (live),Ariana Grande,17,8,11,17,8,23,17,12,6,10
1793,I Have Nothing,Ariana Grande,4,5,4,8,6,6,15,5,3,8
1790,Stick Around,Ariana Grande,7,4,3,5,6,12,13,7,4,4
1788,Problem (Spanglish Version),Ariana Grande,3,8,5,6,4,8,19,7,4,7
1787,​break your heart right back (live),Ariana Grande,6,7,7,6,11,14,16,9,6,10
1785,I Won’t Say (I’m in Love),Ariana Grande,11,13,8,9,11,19,20,8,8,9
1784,Leave Me Lonely (Reprise),Ariana Grande,2,1,2,5,5,9,5,5,3,2
1781,"​thank u, next (live)",Ariana Grande,9,15,9,8,13,31,26,13,6,13
1780,7 rings (live)​,Ariana Grande,16,12,12,16,11,36,24,15,6,15
1779,You’re My Only Shawty,Ariana Grande,5,11,2,6,12,8,26,6,6,14
1778,Ain’t About What You Got,Ariana Grande,8,2,6,5,2,12,7,4,1,2
1773,One Last Time (Attends-moi),Ariana Grande,7,4,5,8,6,15,17,7,3,11
1771,The Way (Spanglish Version) [feat. J Balvin],Ariana Grande,8,6,7,10,6,13,10,8,4,5
1769,Do You Love Me?,Ariana Grande,8,9,5,8,9,13,23,8,5,12
1766,Close to You,Ariana Grande,3,1,2,4,3,4,5,4,1,4
1764,Sober,Ariana Grande,4,2,4,3,3,7,4,4,2,2
1760,Love Is Everything,Ariana Grande,5,5,4,2,7,8,15,4,5,5
1758,Voodoo Love,Ariana Grande,6,7,2,4,9,8,20,3,6,7
1753,Somewhere Over the Rainbow (Live From Manchester),Ariana Grande,0,6,1,0,3,2,9,2,1,7
1749,The Way (Spanglish Version),Ariana Grande,15,15,9,14,12,21,26,14,8,11
1747,Cadillac Song,Ariana Grande,8,6,6,10,4,14,12,10,3,3
1745,Too Close,Ariana Grande,6,4,2,8,5,10,14,6,3,6
1744,Snow In California,Ariana Grande,9,14,4,8,9,11,22,8,6,9
1741,Ridiculous,Ariana Grande,6,6,6,5,10,10,18,4,5,10
1739,Not Just On Christmas,Ariana Grande,2,2,2,4,4,6,6,3,1,3
1736,Baby Loves (Intro),Ariana Grande,0,3,3,1,3,5,8,0,1,4
