song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
4728,Love Yourself: 轉 Tear Notes,BTS (방탄소년단),82,77,47,102,52,196,143,83,46,72
4748,FOR YOU,BTS (방탄소년단),19,11,16,20,13,44,30,20,11,15
4745,DNA (Japanese Ver.),BTS (방탄소년단),0,1,0,1,4,2,5,2,0,3
4743,A Supplementary Story : You Never Walk Alone,BTS (방탄소년단),0,1,1,0,2,1,3,1,1,1
4735,Make It Right,BTS (방탄소년단),0,2,0,1,3,1,5,1,1,2
4733,호르몬 전쟁 (War of Hormone),BTS (방탄소년단),3,1,3,5,2,5,3,4,1,1
4731,Intro: Persona,BTS (방탄소년단),5,3,3,6,5,7,11,5,1,6
4727,HOME,BTS (방탄소년단),5,0,2,6,3,8,5,3,1,1
4723,Stay Gold,BTS (방탄소년단),3,4,1,4,5,5,8,4,3,3
4716,"血、汗、淚 (Blood, Sweat & Tears) (Japanese Ver.)",BTS (방탄소년단),0,5,0,0,6,2,6,2,4,3
4705,House of Cards (Full Length Edition),BTS (방탄소년단),1,1,1,2,1,2,4,2,0,0
4699,쩔어 (DOPE),BTS (방탄소년단),5,1,3,7,2,7,4,5,1,2
4698,Heartbeat,BTS (방탄소년단),9,8,5,9,8,11,18,12,5,7
4696,I NEED U,BTS (방탄소년단),3,1,2,1,2,4,3,2,1,1
4695,Butterfly,BTS (방탄소년단),0,2,0,0,3,3,4,1,1,3
4691,보조개 (​Dimple),BTS (방탄소년단),3,0,3,4,3,5,5,5,0,2
4685,Love Maze,BTS (방탄소년단),5,1,5,4,5,9,8,7,3,4
4684,Not Today,BTS (방탄소년단),5,3,3,5,4,8,8,6,5,2
4674,작은 것들을 위한 시 (Boy With Luv),BTS (방탄소년단),0,4,1,2,4,5,9,2,2,4
4671,Crystal Snow,BTS (방탄소년단),2,2,1,3,5,4,8,4,4,3
4670,피 땀 눈물 (Blood Sweat & Tears),BTS (방탄소년단),1,6,2,3,6,6,8,5,4,3
4665,MIC Drop (Steve Aoki Remix) [Desiigner Remix],BTS (방탄소년단),9,12,8,7,8,18,17,5,7,9
4664,DNA,BTS (방탄소년단),0,2,0,1,5,2,6,2,1,4
4739,MAMA,BTS (방탄소년단),3,2,1,2,3,3,7,2,2,3
4718,BTS Cypher 4,BTS (방탄소년단),5,3,4,6,4,13,7,4,2,4
4706,IDOL,BTS (방탄소년단),1,5,1,3,6,1,14,2,2,8
4687,Don’t Leave Me,BTS (방탄소년단),3,4,2,3,2,8,5,6,2,3
4659,Dynamite,BTS (방탄소년단),7,14,4,6,13,16,25,7,6,13
4714,Filter,BTS (방탄소년단),1,1,2,1,0,4,3,1,1,0
4697,Born Singer,BTS (방탄소년단),21,22,19,23,13,49,42,16,12,29
4677,ON,BTS (방탄소년단),5,3,3,5,3,8,9,4,3,4
4708,"BTS Cypher, Pt. 3: KILLER",BTS (방탄소년단),13,5,10,14,4,24,13,11,3,8
4703,Black Swan,BTS (방탄소년단),5,3,4,8,2,7,7,4,3,1
4662,전하지 못한 진심 (The Truth Untold),BTS (방탄소년단),2,0,1,4,2,4,4,2,2,3
4692,바다 (Sea),BTS (방탄소년단),3,2,2,2,2,3,5,1,1,3
4682,Life Goes On,BTS (방탄소년단),2,2,1,2,2,2,9,2,1,3
4676,BEGIN,BTS (방탄소년단),1,2,2,4,4,4,8,4,2,4
4720,시차 (My Time),BTS (방탄소년단),5,7,3,4,5,5,9,4,4,6
4668,Airplane pt.2,BTS (방탄소년단),4,5,3,4,5,6,8,5,2,4
4673,Anpanman,BTS (방탄소년단),2,3,3,4,3,4,4,3,2,4
4690,Pied Piper,BTS (방탄소년단),2,3,2,2,1,4,2,4,2,3
4740,친구 (Friends),BTS (방탄소년단),2,1,3,4,1,5,3,3,1,2
4715,Blue & Grey,BTS (방탄소년단),3,6,4,5,5,6,6,5,4,6
4742,Danger,BTS (방탄소년단),2,1,2,2,2,4,2,3,2,1
4730,Answer: Love Myself,BTS (방탄소년단),2,1,2,2,2,1,6,1,1,2
4707,Outro: Her,BTS (방탄소년단),2,3,3,2,5,3,5,2,1,4
4693,상남자 (Boy in Luv),BTS (방탄소년단),2,1,1,3,1,3,2,2,1,1
4678,고민보다 Go (Go Go),BTS (방탄소년단),2,4,1,2,5,2,6,3,3,3
4738,Dionysus,BTS (방탄소년단),6,5,4,8,3,16,8,9,5,2
4721,하루만 (Just One Day),BTS (방탄소년단),0,4,0,1,2,1,6,2,2,1
4694,So What,BTS (방탄소년단),1,5,0,3,4,5,6,3,4,4
4683,Outro: Tear,BTS (방탄소년단),3,1,0,4,2,4,5,2,1,2
4710,No More Dream,BTS (방탄소년단),1,2,1,2,1,6,6,1,1,2
