song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
4289,Lemonade Film (Script),Beyoncé,88,85,68,100,80,193,186,87,41,101
4353,Yes,Beyoncé,6,11,6,8,7,17,25,7,3,11
4350,Green Light,Beyoncé,5,8,4,10,5,15,12,10,1,3
4349,Suga Mama,Beyoncé,9,11,6,7,7,14,16,9,4,11
4348,Why Don’t You Love Me,Beyoncé,5,7,7,3,9,16,18,6,5,10
4347,Check on It,Beyoncé,12,14,8,12,9,24,27,12,5,14
4343,Irreplaceable (Rap Version),Beyoncé,21,10,17,16,9,40,32,18,8,12
4341,Get Me Bodied,Beyoncé,9,7,6,11,9,19,18,11,6,9
4340,Crazy In Love (Remix),Beyoncé,8,5,6,6,8,13,12,6,3,6
4339,Poison,Beyoncé,15,11,13,21,9,27,20,18,7,10
4336,Naughty Girl,Beyoncé,5,7,4,6,8,11,13,9,2,5
4334,Check on It (LP Version),Beyoncé,9,13,5,10,10,21,27,9,5,16
4332,Schoolin’ Life,Beyoncé,6,8,3,9,9,19,23,11,5,15
4331,End of Time,Beyoncé,4,7,3,8,10,8,21,7,5,12
4330,FIND YOUR WAY BACK,Beyoncé,6,5,5,6,7,14,14,3,5,8
4327,I Care,Beyoncé,8,3,6,8,2,16,6,13,1,4
4325,Kitty Kat,Beyoncé,14,10,10,14,8,25,18,14,5,12
4323,I’d Rather Go Blind,Beyoncé,0,4,1,4,5,6,11,4,3,3
4322,Ego (Remix),Beyoncé,15,7,16,16,16,29,38,21,9,20
4321,Déjà Vu,Beyoncé,16,7,9,15,7,27,18,12,3,12
4320,Ring the Alarm,Beyoncé,15,8,8,9,5,19,14,6,3,7
4318,Baby Boy,Beyoncé,11,12,7,8,13,17,25,12,9,16
4315,Sweet Dreams,Beyoncé,5,13,6,9,13,13,24,12,8,13
4313,Broken-Hearted Girl,Beyoncé,10,6,2,13,6,16,17,10,4,5
4310,1+1,Beyoncé,10,1,4,9,5,11,11,4,3,6
4308,Dangerously In Love 2,Beyoncé,9,17,7,14,18,22,29,11,7,14
4307,Ego,Beyoncé,10,5,10,12,13,20,25,16,6,14
4304,Ave Maria,Beyoncé,7,8,3,6,7,10,16,11,4,8
4303,Dance for You,Beyoncé,9,11,6,9,14,17,25,8,9,16
4300,Run the World (Girls),Beyoncé,16,13,7,12,11,20,21,11,6,10
4298,Party,Beyoncé,12,14,8,10,11,17,25,13,5,11
4294,Best Thing I Never Had,Beyoncé,8,7,7,8,6,14,18,8,3,15
4293,Love on Top,Beyoncé,5,10,1,4,11,6,19,1,3,10
4292,No Angel,Beyoncé,8,5,6,9,5,14,11,9,2,5
4290,Upgrade U,Beyoncé,18,22,17,20,16,37,40,15,8,23
4288,Blue,Beyoncé,4,4,2,2,6,5,12,2,2,4
4287,MOOD 4 EVA,Beyoncé,21,17,16,26,24,42,46,22,8,24
4285,Crazy in Love,Beyoncé,13,9,10,13,12,24,27,14,4,12
4284,BLACK PARADE,Beyoncé,18,14,13,21,17,41,40,10,7,18
4283,Irreplaceable,Beyoncé,8,6,6,7,2,18,17,11,2,5
4280,Countdown,Beyoncé,13,10,8,10,10,27,24,15,9,10
4279,Jealous,Beyoncé,18,6,15,17,7,21,14,14,6,9
4278,Daddy Lessons,Beyoncé,9,6,6,12,6,20,17,8,4,7
4276,XO,Beyoncé,6,7,6,9,7,14,20,9,4,6
4275,Drunk in Love (Remix),Beyoncé,22,18,20,23,19,49,34,18,12,19
4271,6 Inch,Beyoncé,11,11,9,11,11,14,22,6,7,11
4269,Sandcastles,Beyoncé,7,2,4,8,3,14,8,7,1,4
4268,Rocket,Beyoncé,18,22,13,18,20,33,39,14,9,20
4267,Blow,Beyoncé,9,16,10,13,9,25,19,13,10,11
4266,Don’t Hurt Yourself,Beyoncé,17,8,12,20,12,26,23,17,6,10
4263,Halo,Beyoncé,4,7,1,9,7,12,18,7,5,13
4259,Sorry,Beyoncé,11,9,6,12,6,27,17,11,6,11
4258,***Flawless (Remix),Beyoncé,23,16,17,26,14,45,32,18,8,18
4256,Mine,Beyoncé,14,13,12,19,10,27,24,19,9,14
4255,Partition,Beyoncé,15,9,15,16,10,40,20,17,9,10
4254,Formation,Beyoncé,13,11,11,10,8,28,24,9,9,14
4253,Drunk in Love,Beyoncé,20,13,15,23,12,41,24,15,9,12
4264,***Flawless,Beyoncé,17,19,14,15,21,33,39,11,5,20
