song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
4972,Fingers Crossed,Billie Eilish,4,3,4,5,3,7,7,7,1,2
4965,​goodbye,Billie Eilish,4,7,3,6,3,12,8,7,2,4
4948,​you should see me in a crown,Billie Eilish,3,7,3,8,4,15,9,5,4,6
4943,​wish you were gay,Billie Eilish,7,7,5,6,7,16,15,7,4,8
5079,​bellyache (Live at Third Man Records),Billie Eilish,8,7,5,10,8,16,13,14,3,8
5076,​when the party’s over (Live at Third Man Records),Billie Eilish,7,11,5,8,8,12,25,9,4,12
5057,​all the good girls go to hell (Live at Third Man Records),Billie Eilish,12,18,13,17,15,26,27,16,6,19
5025,Six Feet Under (Aire Atlantica Remix),Billie Eilish,4,3,4,7,4,9,9,3,1,4
5022,Six Feet Under (Gazzo Remix),Billie Eilish,4,3,4,7,4,10,9,3,1,4
5015,Six Feet Under (Jerry Folk Remix),Billie Eilish,4,3,4,7,4,9,9,3,1,4
5011,Six Feet Under (BLU J Remix),Billie Eilish,4,3,4,7,4,9,9,3,1,4
5003,Yesterday (Live at the 92nd Academy Awards),Billie Eilish,3,1,3,3,1,5,6,3,2,2
4999,‌bellyache (Live),Billie Eilish,7,6,4,9,7,16,12,12,3,8
4980,Bad,Billie Eilish,12,5,5,11,3,18,15,6,1,10
4968,WHEN I WAS OLDER,Billie Eilish,8,6,4,11,3,14,15,11,3,7
4947,​bellyache,Billie Eilish,7,6,4,9,7,16,12,12,3,8
4944,No Time To Die,Billie Eilish,4,4,4,4,1,10,9,8,2,3
5036,​listen before i go (live),Billie Eilish,2,3,0,3,4,6,9,6,1,5
4989,​bellyache (Marian Hill Remix),Billie Eilish,3,5,3,4,7,9,10,8,2,6
4954,​listen before i go,Billie Eilish,2,3,0,3,4,6,9,6,1,5
4966,Bored,Billie Eilish,4,4,1,4,6,13,16,5,5,4
5081,​bury a friend (Live at Third Man Records),Billie Eilish,12,8,9,14,6,18,12,17,5,9
4955,​my strange addiction,Billie Eilish,15,10,9,17,8,21,28,15,6,14
4946,Therefore I Am,Billie Eilish,5,5,4,6,6,11,17,5,4,9
4941,​bury a friend,Billie Eilish,12,8,10,13,6,18,12,17,4,9
5032,My boy (Debut / Demo Version),Billie Eilish,2,3,6,5,6,8,8,4,1,8
4958,​my boy,Billie Eilish,3,3,7,6,6,9,8,5,2,8
4951,​xanny,Billie Eilish,15,11,10,17,9,31,22,17,7,10
4937,​when the party’s over,Billie Eilish,3,7,3,2,3,5,11,5,3,4
4957,​hostage,Billie Eilish,5,3,1,8,5,10,14,6,1,6
4949,​my future,Billie Eilish,4,6,3,5,4,5,8,4,3,4
4938,​everything i wanted,Billie Eilish,8,5,4,10,5,9,15,4,2,7
4963,​​party favor,Billie Eilish,5,9,6,8,5,18,16,6,4,10
5008,‌watch (Live),Billie Eilish,7,5,4,7,4,10,7,6,3,2
4956,​watch,Billie Eilish,7,5,4,7,4,10,7,6,3,2
4991,​​my boy (TroyBoi Remix),Billie Eilish,2,3,6,4,6,7,8,4,3,8
4974,​limbo*,Billie Eilish,4,2,4,7,3,17,10,9,4,3
4967,​ocean eyes (blackbear Remix),Billie Eilish,8,6,5,8,3,15,10,10,3,4
4964,6.18.18*,Billie Eilish,2,13,3,7,9,9,14,10,6,7
4960,8,Billie Eilish,4,5,4,5,4,9,11,7,3,5
4953,​ilomilo,Billie Eilish,4,5,4,6,4,12,9,12,3,5
4939,​bad guy,Billie Eilish,8,8,9,9,5,18,12,12,3,8
5080,COPYCAT (Live at Third Man Records),Billie Eilish,9,6,10,9,5,15,11,7,2,7
4996,COPYCAT (Sofi Tukker Remix),Billie Eilish,7,7,7,8,5,11,10,5,2,8
4952,COPYCAT,Billie Eilish,8,7,9,8,6,14,12,6,2,8
5070,​ocean eyes (Live at Third Man Records),Billie Eilish,7,5,6,9,5,10,12,9,1,5
5018,​ocean eyes (Cautious Clay Remix),Billie Eilish,5,5,4,7,4,10,12,8,1,5
5013,‌ocean eyes (Live),Billie Eilish,5,5,4,7,4,10,12,8,1,5
5012,​ocean eyes (GOLDHOUSE Remix),Billie Eilish,5,5,4,7,4,10,12,8,1,5
4971,​ocean eyes (Astronomyy Remix),Billie Eilish,7,5,6,8,4,12,12,10,1,5
4945,​​ocean eyes,Billie Eilish,6,5,5,8,4,9,11,8,1,5
4970,!!!!!!!,Billie Eilish,2,2,4,1,1,5,3,3,1,3
5073,​bad guy (Live at Third Man Records),Billie Eilish,6,5,8,7,3,15,9,10,1,6
5078,​idontwannabeyouanymore (Live at Third Man Records),Billie Eilish,10,4,7,13,7,15,14,15,3,8
4950,​all the good girls go to hell,Billie Eilish,10,13,12,15,10,24,17,13,4,13
5075,​i love you (Live at Third Man Records),Billie Eilish,8,6,7,8,6,17,12,13,4,6
4973,​sHE’s brOKen,Billie Eilish,4,2,0,5,5,8,11,4,3,6
4961,​bitches broken hearts,Billie Eilish,11,5,6,8,4,19,9,12,3,6
4942,​i love you,Billie Eilish,4,4,4,6,6,10,12,10,4,5
5077,​come out and play (Live at Third Man Records),Billie Eilish,3,4,3,4,3,8,12,4,2,5
5037,​come out and play (live),Billie Eilish,3,2,3,4,3,7,12,3,2,5
4962,​​come out and play,Billie Eilish,3,2,3,4,3,7,12,3,2,5
4975,​hotline bling,Billie Eilish,4,3,3,3,4,7,6,3,1,3
4940,​idontwannabeyouanymore,Billie Eilish,9,4,6,11,8,14,15,14,3,9
5000,​underneath*,Billie Eilish,1,0,2,0,0,3,3,1,0,0
5014,Vertigo,Billie Eilish,0,0,0,0,0,0,0,0,0,0
