song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
2312,Sauce Niggaz,Cardi B,20,11,11,15,10,29,21,14,5,17
2279,Sauce Boyz,Cardi B,20,11,11,15,10,29,21,14,5,17
2259,Drip,Cardi B,28,13,17,26,14,51,32,16,13,15
2254,Be Careful,Cardi B,22,19,16,25,12,40,43,19,11,19
2293,I Gotta Hurt You,Cardi B,7,3,4,8,4,13,8,9,1,3
2302,Never Give Up,Cardi B,7,6,5,6,6,16,19,5,3,10
2294,Pop Off,Cardi B,24,19,20,29,14,45,33,26,9,23
2289,B.O.N,Cardi B,20,13,13,17,9,38,23,15,7,10
2286,With That,Cardi B,17,8,13,15,7,30,17,11,8,10
2273,Selfish,Cardi B,7,6,7,8,6,16,19,8,5,7
2271,Washpoppin,Cardi B,11,3,7,9,6,23,14,7,5,7
2260,Ring,Cardi B,10,7,12,10,5,21,12,9,3,4
2258,Thru Your Phone,Cardi B,23,6,14,18,7,39,15,17,8,9
2252,Bodak Yellow,Cardi B,15,12,13,10,13,30,25,15,6,22
2313,Ten Trick Commandments,Cardi B,10,8,7,6,7,20,15,7,6,11
2288,Trick,Cardi B,10,8,7,6,7,20,15,7,6,11
2287,Leave That Bitch Alone,Cardi B,10,14,8,12,7,29,17,11,8,14
2280,Lit Thot,Cardi B,13,8,11,9,5,25,21,11,4,12
2274,Pull Up,Cardi B,18,12,14,16,11,42,29,19,8,22
2270,Up,Cardi B,15,8,16,15,7,35,22,11,5,12
2267,Foreva,Cardi B,22,14,17,19,13,33,34,17,9,15
2265,Money Bag,Cardi B,17,11,14,15,12,30,24,13,8,15
2262,Best Life,Cardi B,25,23,25,27,17,50,37,22,16,23
2261,Get Up 10,Cardi B,40,14,23,34,12,65,38,28,14,28
2253,Bartier Cardi,Cardi B,17,12,12,15,8,35,24,14,7,9
2284,Bronx Season,Cardi B,14,17,13,13,14,32,29,15,10,23
2282,Hectic,Cardi B,21,15,15,18,7,39,23,15,9,11
2263,Bickenhead,Cardi B,12,9,16,14,10,31,25,16,6,15
2276,Lick (Remix),Cardi B,16,13,13,15,11,28,29,11,6,18
2298,Everything,Cardi B,20,11,15,17,9,41,34,19,7,21
2281,Back It Up,Cardi B,10,8,11,9,8,24,17,11,6,12
2297,Rollin,Cardi B,12,5,12,17,5,25,18,12,4,11
2268,Lick,Cardi B,17,9,10,16,8,29,21,11,7,14
2257,I Do,Cardi B,14,10,9,16,6,26,15,12,6,10
2295,How I Do,Cardi B,14,10,14,9,5,28,18,12,6,7
2278,Trust Issues,Cardi B,19,11,13,14,6,30,17,15,5,15
2272,On Fleek,Cardi B,11,9,9,13,7,15,18,9,5,9
