song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
3917,I Don’t Wanna Hurt You Baby,Charlie Puth,10,9,5,13,10,16,20,14,7,9
3913,Next To You,Charlie Puth,3,6,4,3,8,8,18,6,3,7
3890,Left Right Left,Charlie Puth,6,9,1,7,7,17,16,17,4,7
3889,I Won’t Tell a Soul,Charlie Puth,3,5,1,3,5,6,14,2,2,6
3888,Then There’s You,Charlie Puth,3,0,2,3,4,6,16,0,1,8
3886,As You Are,Charlie Puth,8,8,5,11,9,12,22,7,6,9
3884,I Don’t Wanna Know,Charlie Puth,4,6,4,5,4,8,11,7,2,4
3883,Look At Me Now,Charlie Puth,1,5,2,0,5,3,13,2,4,8
3882,My Gospel,Charlie Puth,18,17,12,19,14,26,23,11,10,13
3879,Some Type of Love,Charlie Puth,5,6,3,7,5,9,13,8,1,3
3876,Empty Cups,Charlie Puth,5,6,4,5,4,14,10,5,4,4
3873,Slow It Down,Charlie Puth,4,1,2,4,2,8,7,4,0,2
3872,Suffer,Charlie Puth,4,5,2,6,5,12,9,4,2,5
3870,LA Girls,Charlie Puth,4,3,4,5,3,9,13,4,2,4
3867,BOY,Charlie Puth,10,10,7,9,8,12,12,7,7,7
3864,Patient,Charlie Puth,8,11,5,11,6,18,15,10,3,10
3861,Dangerously,Charlie Puth,10,5,8,13,5,20,17,8,5,7
3860,If You Leave Me Now,Charlie Puth,8,5,6,9,6,16,13,13,5,7
3859,The Way I Am,Charlie Puth,9,5,5,12,3,13,13,5,2,8
3858,Done for Me,Charlie Puth,5,3,5,5,4,12,12,11,1,8
3857,One Call Away,Charlie Puth,3,4,1,5,8,7,11,5,4,7
3856,Marvin Gaye,Charlie Puth,5,5,6,7,7,10,15,6,5,7
3855,How Long,Charlie Puth,6,5,4,6,7,10,13,7,3,8
3853,Attention,Charlie Puth,4,7,2,3,4,8,11,4,2,4
3914,Seventeen,Charlie Puth,8,4,4,3,5,11,17,3,4,6
3880,Does It  Feel,Charlie Puth,5,4,4,4,4,8,14,6,0,7
3885,Losing My Mind,Charlie Puth,5,6,2,3,5,5,6,5,2,5
3871,River,Charlie Puth,3,1,3,3,2,9,7,6,1,2
3874,Somebody Told Me,Charlie Puth,3,5,2,5,5,8,10,3,2,6
3902,We Don’t Talk Anymore (Junge Junge Remix),Charlie Puth,6,3,7,6,5,17,15,5,4,7
3877,Through It All,Charlie Puth,9,12,4,10,7,14,12,7,6,6
3854,We Don’t Talk Anymore,Charlie Puth,6,3,7,6,5,15,14,4,3,7
3887,Up All Night,Charlie Puth,7,6,1,5,4,10,12,5,4,4
3911,Quarantine Song,Charlie Puth,2,4,1,1,2,3,4,3,0,3
3894,Free,Charlie Puth,3,4,1,4,3,5,11,4,2,3
3868,Change,Charlie Puth,6,4,9,6,5,16,10,11,5,6
