song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
184,Up&Up (Live in Buenos Aires),Coldplay,11,15,10,14,17,27,34,12,10,14
286,Cry Cry Cry (Reimagined),Coldplay,6,7,3,6,7,12,11,9,3,7
268,Talk (Jacques Lu Cont / Thin White Duke remix),Coldplay,10,5,6,12,5,16,9,12,3,5
265,Champion of the World (Reimagined),Coldplay,10,7,3,13,4,16,15,11,1,6
259,Goodbye and Goodnight,Coldplay,5,3,4,4,2,10,4,5,1,1
133,Moses,Coldplay,2,4,2,2,1,5,11,3,2,3
105,Don’t Let It Break Your Heart,Coldplay,7,5,4,5,4,14,6,8,4,4
83,Life in Technicolor ii,Coldplay,7,7,4,6,5,11,12,2,3,6
71,Gravity,Coldplay,3,6,2,3,3,5,9,3,2,2
51,Army of One,Coldplay,9,4,4,7,6,15,12,6,1,3
45,Cry Cry Cry,Coldplay,7,7,4,6,7,13,11,10,3,7
33,A Rush of Blood to the Head,Coldplay,9,7,4,10,7,16,16,10,2,8
25,Church,Coldplay,2,5,0,4,5,3,10,2,1,4
340,Don’t Panic (Live at KCRW),Coldplay,4,1,1,2,2,4,6,2,0,3
332,Spies (Live at KCRW),Coldplay,5,2,4,6,2,7,8,4,1,4
221,Don’t Panic (Blue Room Version),Coldplay,4,1,1,2,2,4,6,2,0,3
198,Fix You (Live In Buenos Aires),Coldplay,9,2,5,9,3,16,13,8,2,8
197,God Put a Smile Upon Your Face (Live In Buenos Aires),Coldplay,4,5,5,6,5,9,11,6,5,6
186,Houston #1,Coldplay,4,4,3,7,6,9,12,5,3,7
183,In My Place (Live in Buenos Aires),Coldplay,8,12,3,10,6,16,16,12,3,8
182,Everglow (Live in Buenos Aires),Coldplay,10,11,9,14,14,21,27,15,5,14
177,Death Will Never Conquer,Coldplay,4,5,3,6,3,6,9,6,3,5
166,Lovers in Japan (Osaka Sun Mix),Coldplay,4,4,1,4,3,6,6,5,1,3
163,The World Turned Upside Down,Coldplay,7,10,3,8,7,12,24,8,5,12
157,Amor Argentina (Live In Buenos Aires),Coldplay,3,4,3,1,5,7,9,2,2,4
148,Things I Don’t Understand,Coldplay,1,4,2,3,3,7,12,4,3,3
135,Moving to Mars,Coldplay,4,9,3,7,6,7,12,4,3,6
121,A Whisper,Coldplay,1,2,3,2,0,6,6,3,1,0
98,White Shadows,Coldplay,3,10,1,5,9,8,16,5,5,7
93,Square One,Coldplay,6,6,6,8,5,12,10,8,5,7
92,Don’t Look Back In Anger,Coldplay,6,9,1,6,3,15,15,7,4,5
88,When I Need a Friend,Coldplay,4,2,3,5,4,8,8,5,0,5
81,Us Against the World,Coldplay,8,11,5,13,8,13,20,10,5,9
77,Lovers in Japan / Reign of Love,Coldplay,6,9,2,8,5,12,13,7,2,6
76,X Marks the Spot,Coldplay,7,9,3,8,10,13,16,8,4,7
74,Spies,Coldplay,5,3,5,6,3,8,10,4,3,6
64,Hurts Like Heaven,Coldplay,12,8,5,13,7,16,15,12,5,10
57,X&Y,Coldplay,4,4,1,6,5,9,11,6,2,4
53,Politik,Coldplay,3,5,1,4,7,10,16,4,3,11
52,God Put a Smile Upon Your Face,Coldplay,1,3,4,3,3,7,8,3,3,4
48,A L I E N S,Coldplay,7,9,5,13,6,13,16,9,3,8
47,بنی آدم (Children of Adam),Coldplay,0,5,1,1,6,2,9,0,2,5
44,Amsterdam,Coldplay,2,6,6,5,3,9,9,2,4,5
40,Amazing Day,Coldplay,5,9,2,9,7,10,12,6,4,10
39,Speed of Sound,Coldplay,7,8,5,5,4,10,14,5,3,7
38,Fun,Coldplay,10,9,3,11,5,16,18,10,4,8
35,Don’t Panic,Coldplay,4,2,1,3,3,6,9,3,2,3
30,Trouble in Town,Coldplay,7,7,7,4,7,15,25,4,4,18
23,In My Place,Coldplay,7,9,2,9,2,12,8,9,2,4
2,Fix You,Coldplay,5,2,3,6,4,12,11,7,4,5
341,Everything’s Not Lost (Live @ Rockefeller Music Hall),Coldplay,4,3,4,4,2,10,7,8,1,5
