song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
1253,New Love (Paraone Remix),Dua Lipa,5,5,4,5,6,9,17,8,2,6
1251,Electricity (StarFox Remix),Dua Lipa,9,7,5,10,8,12,17,9,5,8
1250,New Love (Jarreau Vandal Remix),Dua Lipa,5,5,4,5,6,9,17,8,2,6
1234,Physical (Leo Zero Disco Remix),Dua Lipa,4,6,1,6,6,7,11,3,1,3
1228,Hallucinate (Mr Fingers deep stripped mix),Dua Lipa,6,10,5,6,9,14,15,11,4,5
1227,Cool (Jayda G Remix),Dua Lipa,5,6,5,5,5,8,17,4,4,6
1224,Hallucinate (Paul Woolford Remix) [Extended],Dua Lipa,4,6,3,4,7,8,13,6,1,5
1222,Love Again (Horse Meat Disco Remix),Dua Lipa,11,5,6,13,7,17,13,10,4,5
1220,Pretty Please (Masters at Work Remix),Dua Lipa,7,6,5,7,8,16,15,10,7,7
1208,Good in Bed (Zach Witness Remix),Dua Lipa,8,6,7,8,4,13,13,9,2,6
1205,Break My Heart (Moodyman Remix),Dua Lipa,4,6,4,5,5,9,10,5,5,2
1200,Physical (Erika De Casier Remix),Dua Lipa,4,6,1,6,6,6,11,3,1,3
1199,Physical (Ofenbach Remix),Dua Lipa,4,5,1,6,6,7,11,3,1,3
1197,Pretty Please (Midland Refix),Dua Lipa,6,5,4,6,7,15,14,9,6,7
1180,Hotter Than Hell (Jack Wins Remix),Dua Lipa,9,9,9,12,6,16,13,12,4,6
1178,Good in Bed (Gen Hoshino Remix),Dua Lipa,8,4,8,8,5,12,13,9,1,6
1162,Physical (Claptone Remix),Dua Lipa,1,0,0,1,1,2,3,0,0,0
1156,That Kind of Woman (Jacques Lu Cont Remix),Dua Lipa,5,2,4,5,2,6,7,3,1,5
1151,Physical (Alok Remix),Dua Lipa,4,5,1,6,6,7,12,3,1,3
1140,Physical (Mark Ronson Remix),Dua Lipa,4,6,1,6,6,8,11,3,1,3
1124,One for the Night,Dua Lipa,11,1,8,11,4,16,9,12,1,1
1122,New Rules (SG Lewis Remix),Dua Lipa,5,4,5,7,6,10,17,4,1,9
1121,My My My (Deezer Sessions),Dua Lipa,0,7,0,2,7,3,13,2,2,5
1117,Hotter Than Hell (Matoma Remix),Dua Lipa,9,9,9,12,6,16,13,12,3,6
1109,New Rules (Freedo Remix),Dua Lipa,6,6,6,9,8,12,21,7,2,10
1108,If It Ain’t Me (Sad Disco),Dua Lipa,8,9,7,10,8,17,15,13,4,11
1100,Fever (Demo),Dua Lipa,2,6,2,4,4,5,13,5,6,6
1096,Hotter Than Hell (Miike Snow Remix),Dua Lipa,9,9,9,12,6,16,13,12,3,6
1075,Do I Wanna Know? (BBC Radio 1 Live Lounge),Dua Lipa,10,8,5,7,5,13,16,8,4,7
1071,IDGAF (Remix),Dua Lipa,13,16,11,12,13,24,23,15,7,16
1069,Berlin Summer,Dua Lipa,5,3,5,3,5,7,8,4,3,3
1068,Jealousy,Dua Lipa,11,1,9,11,4,19,11,9,1,2
1066,25/8,Dua Lipa,7,5,4,5,2,12,8,4,0,2
1063,That Kind of Woman,Dua Lipa,5,2,4,5,2,6,7,3,1,5
1062,Ball & Chain,Dua Lipa,11,4,9,12,3,23,11,14,2,2
1060,Golden Slumbers (Acoustic),Dua Lipa,2,5,3,3,4,6,6,4,1,5
1055,Physical (HWASA Remix),Dua Lipa,2,3,1,4,3,5,7,2,0,2
1049,Running,Dua Lipa,12,5,2,12,4,19,9,11,1,4
1047,IDGAF (Diablo & Rich Brian Remix),Dua Lipa,11,8,10,9,9,16,20,11,3,10
1046,I’d Rather Go Blind (Live),Dua Lipa,0,3,1,2,4,4,9,2,2,2
1044,Dreams,Dua Lipa,7,5,4,5,6,11,11,6,4,5
1042,Begging,Dua Lipa,3,3,2,3,5,10,12,6,1,6
1041,Bad Together,Dua Lipa,11,10,9,11,9,19,20,10,8,11
1036,Levitating (Remix),Dua Lipa,9,16,6,11,16,22,31,12,9,18
1035,Last Dance,Dua Lipa,4,7,4,9,4,18,12,13,7,3
1034,New Love,Dua Lipa,5,5,4,5,6,9,17,8,2,6
1033,Cool,Dua Lipa,5,6,5,5,5,8,17,4,4,6
1032,Hallucinate,Dua Lipa,7,10,6,6,9,15,15,11,4,5
1030,Pretty Please,Dua Lipa,7,6,5,7,8,16,15,10,7,7
1028,Good in Bed,Dua Lipa,8,4,8,8,5,12,13,9,2,6
1027,Love Again,Dua Lipa,12,6,8,15,9,19,16,12,5,8
1026,Lost In Your Light,Dua Lipa,8,7,7,12,8,20,13,10,6,9
1022,Hotter Than Hell,Dua Lipa,9,9,9,12,6,16,13,12,3,6
1021,Physical,Dua Lipa,4,6,1,6,6,7,11,3,1,3
1020,Levitating,Dua Lipa,6,7,4,6,10,14,20,8,3,7
1018,Break My Heart,Dua Lipa,7,6,6,10,5,14,12,9,6,2
1017,Be the One,Dua Lipa,1,1,3,1,2,4,3,2,2,2
1013,New Rules,Dua Lipa,6,6,6,9,8,12,21,7,2,10
1259,Dua Lipa - IDGAF (Traducción al Español),Dua Lipa,5,3,4,7,1,7,9,6,2,3
1258,Dua Lipa - Hotter Than Hell (Traducción al Español),Dua Lipa,7,3,7,8,1,9,7,5,1,6
1257,Dua Lipa - Blow Your Mind (Mwah) (Traducción al Español),Dua Lipa,0,0,0,1,1,2,4,0,0,2
1211,Future Nostalgia (Joe Goddard Remix),Dua Lipa,7,3,5,6,1,12,8,5,3,5
1081,Lions & Tigers & Bears,Dua Lipa,4,4,3,6,3,8,6,2,2,4
1061,Cherry,Dua Lipa,10,6,8,9,1,16,10,6,3,5
1029,Future Nostalgia,Dua Lipa,7,3,5,6,1,12,8,5,3,5
1243,New Rules (StarFox Remix),Dua Lipa,6,6,6,9,7,12,20,7,2,10
1221,New Rules (Deezer Sessions),Dua Lipa,7,7,7,10,8,13,21,9,2,11
1123,New Rules (KREAM Remix),Dua Lipa,6,6,6,9,7,12,20,7,2,10
1099,New Rules (Piano Acoustic) [Live],Dua Lipa,6,5,6,9,7,12,19,6,2,10
1095,New Rules (Live),Dua Lipa,6,8,7,10,9,15,22,8,3,11
1087,Not My Problem,Dua Lipa,13,5,8,12,2,21,12,15,3,5
1048,For Julian,Dua Lipa,6,7,4,8,7,10,16,5,4,10
1098,Top Dollar,Dua Lipa,5,6,5,5,6,12,12,8,4,6
1073,Save Someone,Dua Lipa,9,7,2,12,9,17,22,12,7,10
1145,New Rules (MRK Club Mix),Dua Lipa,5,3,5,7,5,10,16,4,1,9
1067,We’re Good,Dua Lipa,3,6,5,6,3,9,10,4,2,6
1065,New Rules (Alison Wonderland Remix),Dua Lipa,5,4,5,7,5,10,16,4,2,9
1039,Garden,Dua Lipa,2,4,3,4,7,7,15,5,3,6
