song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
1989,Sing,Ed Sheeran,13,10,5,12,12,21,25,11,7,13
1994,Take It Back,Ed Sheeran,25,30,23,29,22,62,54,29,16,35
2059,"You Need Me, I Don’t Need You (Live at the Bedford)",Ed Sheeran,53,39,34,49,34,104,83,50,21,47
2029,"You Need Me, I Don’t Need You (Live Ustream Version)",Ed Sheeran,40,35,24,36,26,74,64,42,17,45
2129,Don’t (Don Diablo Remix),Ed Sheeran,11,21,7,16,18,26,37,18,7,22
2120,Shape of You (Berywam Remix),Ed Sheeran,10,10,9,8,11,21,27,15,7,14
2093,Photograph (Felix Jaehn Remix),Ed Sheeran,12,8,5,11,9,17,18,13,5,9
2040,...Baby One More Time,Ed Sheeran,5,3,3,7,2,11,7,8,1,3
2037,Don’t (Rick Ross Remix),Ed Sheeran,17,26,11,20,21,34,44,22,10,27
2024,I Don’t Want Your Money,Ed Sheeran,13,9,11,12,10,19,19,10,6,9
2019,Feels,Ed Sheeran,13,6,11,11,9,23,21,10,7,10
2008,Put It All on Me,Ed Sheeran,8,9,4,6,7,11,13,6,4,8
2002,The Man,Ed Sheeran,25,22,19,32,16,54,48,28,14,25
2001,All of the Stars,Ed Sheeran,11,8,8,7,5,14,13,9,2,4
1996,Best Part of Me,Ed Sheeran,9,4,7,12,4,19,15,14,4,7
1987,I’m a Mess,Ed Sheeran,5,10,5,7,7,18,15,10,3,7
1985,Hearts Don’t Break Around Here,Ed Sheeran,10,12,6,9,11,17,20,8,9,11
1980,Cross Me,Ed Sheeran,16,9,7,13,10,23,21,11,8,10
1975,Barcelona,Ed Sheeran,6,9,5,9,13,16,24,8,7,10
1971,New Man,Ed Sheeran,15,12,7,11,11,29,23,14,7,14
1966,South of the Border,Ed Sheeran,11,17,8,12,17,26,34,10,9,19
1964,Don’t,Ed Sheeran,12,22,9,17,19,28,38,20,7,23
1963,Photograph,Ed Sheeran,12,7,5,11,9,16,18,13,4,9
1962,Dive,Ed Sheeran,6,4,6,4,3,11,14,6,2,5
1961,Galway Girl,Ed Sheeran,10,12,6,8,14,19,24,9,6,14
1960,Thinking Out Loud,Ed Sheeran,8,7,2,6,13,13,22,10,5,12
1958,Happier,Ed Sheeran,7,6,4,7,10,9,17,6,6,10
1956,Perfect,Ed Sheeran,5,14,4,4,16,11,26,5,5,15
1955,Shape of You,Ed Sheeran,10,10,9,8,11,21,27,15,7,14
