song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
3522,Favorite Girl (Acoustic) [Live],Justin Bieber,7,8,5,8,8,12,23,7,1,9
3521,Take You (Acoustic),Justin Bieber,3,7,0,4,5,8,9,3,1,5
3520,Up (Remix),Justin Bieber,6,4,2,5,6,8,15,7,1,8
3515,Home This Christmas,Justin Bieber,5,8,2,7,4,12,10,3,3,4
3496,That Should Be Me (Remix),Justin Bieber,8,7,4,7,9,14,21,8,6,3
3495,Beauty and a Beat (Acoustic),Justin Bieber,4,2,1,4,4,5,8,4,1,1
3494,Only Thing I Ever Get for Christmas,Justin Bieber,2,8,2,2,9,6,13,5,4,4
3486,Be Alright (Acoustic),Justin Bieber,3,7,3,3,5,10,11,6,1,3
3485,Just Like Them,Justin Bieber,2,7,2,4,4,13,10,6,3,5
3481,Kiss and Tell,Justin Bieber,8,10,5,10,9,12,23,9,5,13
3476,That Should Be Me (Acoustic),Justin Bieber,7,7,3,6,9,13,21,8,6,3
3467,All I Want Is You,Justin Bieber,7,5,6,8,5,10,10,6,2,4
3466,Christmas Love,Justin Bieber,6,13,4,6,17,11,23,8,8,12
3464,Fall (Acoustic) [Live],Justin Bieber,15,11,7,18,11,24,19,17,11,9
3459,As Long As You Love Me (Acoustic),Justin Bieber,15,9,6,12,9,26,22,13,4,9
3458,Bigger,Justin Bieber,6,3,6,5,6,16,16,6,4,8
3457,Boyfriend (Acoustic),Justin Bieber,11,3,3,11,4,12,17,8,3,8
3456,Runaway Love,Justin Bieber,3,4,1,3,3,7,16,3,2,7
3453,I Would,Justin Bieber,3,3,1,5,7,8,11,7,2,3
3452,Somebody to Love (Remix),Justin Bieber,3,9,3,5,11,6,20,5,4,12
3451,Fa La La,Justin Bieber,2,7,3,3,6,7,15,6,3,6
3445,Santa Claus Is Coming to Town,Justin Bieber,3,5,3,5,3,6,4,4,2,3
3444,Faithful,Justin Bieber,7,5,4,8,7,12,16,8,2,8
3441,Yellow Raincoat,Justin Bieber,7,2,4,8,3,9,8,5,3,3
3440,Up,Justin Bieber,5,4,2,5,6,6,15,7,1,8
3439,Fairytale,Justin Bieber,10,9,7,10,9,20,27,6,2,16
3438,Alone,Justin Bieber,6,4,6,7,4,14,11,11,3,6
3436,Supermodel,Justin Bieber,6,7,5,4,8,14,18,6,4,8
3435,It’s All Gonna Be Okay,Justin Bieber,5,12,2,5,6,14,14,7,2,7
3434,Baby (Acoustic),Justin Bieber,10,7,7,8,7,16,11,12,4,5
3433,Out of Town Girl,Justin Bieber,2,1,2,3,4,5,7,2,3,4
3432,Christmas Eve,Justin Bieber,9,9,4,7,10,13,20,7,6,9
3431,One Love,Justin Bieber,2,2,2,3,4,9,10,8,2,2
3429,Favorite Girl,Justin Bieber,7,6,4,7,9,11,22,4,2,10
3427,Stuck In the Moment,Justin Bieber,14,6,5,11,5,24,16,11,4,6
3426,U Smile,Justin Bieber,1,2,1,2,3,4,8,3,2,1
3421,Never Let You Go,Justin Bieber,11,11,7,17,12,21,20,12,8,14
3418,Love Me Like You Do,Justin Bieber,6,9,5,5,10,12,21,8,6,15
3415,Somebody to Love,Justin Bieber,3,9,3,5,11,6,19,5,4,11
3413,Roller Coaster,Justin Bieber,4,4,2,6,3,7,9,7,3,2
3412,Runaway Love (Remix),Justin Bieber,13,18,10,18,12,33,44,18,9,22
3411,That Should Be Me,Justin Bieber,7,7,3,6,9,13,21,8,6,3
3409,What’s Hatnin’,Justin Bieber,9,12,4,10,7,11,18,7,6,5
3405,Die in Your Arms,Justin Bieber,9,7,7,9,8,13,20,10,4,12
