song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
4001,I’m Still Breathing,Katy Perry,5,11,7,9,6,15,19,11,6,6
4184,E.T. (Dave Audé Remix) [Radio Edit],Katy Perry,10,7,9,13,5,18,16,10,5,8
4181,E.T. (Johnson Somerset & John Monkman Remix),Katy Perry,10,10,9,14,8,19,21,10,7,10
4158,E.T. (Tiësto Remix) [Club Edit],Katy Perry,8,6,9,11,3,17,10,10,5,5
4155,E.T. (Noisia Remix),Katy Perry,9,11,9,14,9,19,21,11,8,9
4149,E.T. (Benny Benassi Radio Edit),Katy Perry,9,7,9,13,5,18,15,10,5,7
4030,Tommie Sunshine’s Megasix Smash-Up,Katy Perry,30,19,19,30,21,63,48,26,18,29
3948,E.T.,Katy Perry,10,10,9,14,8,19,21,10,7,10
3937,E.T. (Remix),Katy Perry,13,13,14,16,11,30,26,12,7,14
4190,Teenage Dream (Manhattan Clique Remix),Katy Perry,5,6,4,5,11,10,17,9,4,11
4166,California Gurls (Manhattan Clique Long Beach Mix),Katy Perry,10,11,8,9,12,22,28,9,13,11
4165,Teenage Dream (Vandalism Le Pop Mix),Katy Perry,5,6,4,5,11,10,17,9,4,11
4161,Waking Up in Vegas (MTV Unplugged),Katy Perry,7,6,6,5,7,20,12,10,4,8
4157,Rita My love,Katy Perry,18,19,15,20,16,40,36,19,7,18
4152,Waking Up in Vegas (Calvin Harris Extended Remix),Katy Perry,6,6,5,3,7,17,11,7,4,7
4148,Thinking of You (MTV Unplugged),Katy Perry,6,5,7,6,6,10,19,7,6,6
4138,Waking Up In Vegas (Calvin Harris Remix Edit),Katy Perry,6,6,5,3,7,17,11,7,5,7
4129,California Gurls (Armand Van Helden Remix),Katy Perry,5,9,5,5,8,13,14,5,8,3
4125,Ur So Gay (MTV Unplugged),Katy Perry,6,7,6,6,11,11,24,7,7,11
