song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
1299,Stay,Khalid,6,5,4,3,4,7,12,6,1,4
1287,Right Back (Remix),Khalid,13,7,9,11,6,24,19,12,1,10
1277,My Bad,Khalid,3,1,1,3,2,8,9,4,2,2
1262,Better,Khalid,6,5,3,6,9,8,18,3,3,12
1297,Paradise,Khalid,7,9,7,13,9,17,18,9,6,11
1296,Alive,Khalid,8,11,7,9,4,17,14,12,6,10
1291,Hundred,Khalid,19,13,10,17,6,22,22,11,4,11
1288,Right Back,Khalid,8,5,3,6,5,14,15,8,1,9
1285,Keep Me,Khalid,2,7,1,2,9,9,17,5,5,9
1281,Let’s Go,Khalid,8,9,5,6,8,14,16,10,4,8
1276,Cold Blooded,Khalid,9,6,6,10,4,17,16,7,5,10
1273,Shot Down,Khalid,8,7,2,8,6,9,15,6,5,8
1261,Location,Khalid,2,3,3,4,2,7,11,6,2,4
1301,Twenty One,Khalid,12,6,9,9,5,21,12,9,5,7
1286,Bad Luck,Khalid,12,6,8,11,7,17,17,9,4,11
1309,Eleven (Remix),Khalid,6,7,2,5,3,9,8,6,2,4
1267,Saturday Nights,Khalid,10,3,9,9,1,19,12,12,2,3
1280,Winter,Khalid,7,5,3,6,5,15,9,12,2,4
1284,Motion,Khalid,8,7,5,9,4,14,15,9,1,6
1289,Self,Khalid,10,8,5,15,8,20,18,11,7,9
1302,Bluffin’,Khalid,8,5,4,7,2,20,6,12,1,2
1278,Vertigo,Khalid,9,8,5,10,5,21,18,11,2,8
1292,Up All Night,Khalid,1,4,1,4,3,3,8,2,0,3
1295,Young Dumb & Broke (Remix),Khalid,12,13,9,12,8,24,24,12,2,10
1290,Free Spirit,Khalid,4,4,0,10,5,14,11,12,3,3
1271,Therapy,Khalid,8,6,8,10,4,19,13,11,3,6
1270,American Teen,Khalid,8,8,3,5,7,12,16,3,3,9
1294,Intro,Khalid,7,8,4,8,7,14,19,12,4,11
1272,Another Sad Love Song,Khalid,9,5,4,8,5,12,9,10,1,7
1304,Salem’s Interlude,Khalid,6,5,3,6,3,16,15,9,3,10
1274,Angels,Khalid,2,7,2,4,5,8,11,5,3,8
1264,Saved,Khalid,3,6,3,4,8,7,17,6,3,8
1315,​wildflower (rough),Khalid,6,6,3,5,5,14,11,9,4,5
1279,Eleven,Khalid,4,5,2,4,2,9,7,3,1,4
1269,Suncity,Khalid,5,7,3,5,4,11,11,8,4,6
1265,Coaster,Khalid,8,7,5,7,5,13,13,4,2,9
1293,Don’t Pretend,Khalid,8,5,4,6,4,13,8,9,2,6
1268,8TEEN,Khalid,14,8,10,10,6,22,15,14,4,10
1313,Talk (Disclosure VIP),Khalid,2,6,0,3,2,8,12,8,2,5
1282,Hopeless,Khalid,5,11,4,9,6,18,15,11,3,5
1263,Talk,Khalid,2,6,0,3,2,7,11,7,2,5
1305,9.13,Khalid,2,3,2,2,4,3,6,1,3,5
1260,Young Dumb & Broke,Khalid,4,4,2,4,4,8,7,3,0,2
1300,Heaven,Khalid,3,3,4,5,1,8,8,6,1,3
