song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
3034,Fashion (2009),Lady Gaga,4,2,3,3,4,7,9,3,1,5
3008,Bad Kids,Lady Gaga,23,5,17,18,7,28,19,13,6,10
3102,We Are Plastic,Lady Gaga,4,6,3,4,5,7,17,6,2,9
3097,Applause (Demo),Lady Gaga,2,2,1,2,5,2,7,1,4,3
3088,Fever,Lady Gaga,1,6,1,2,7,3,10,5,3,5
3087,Fancy Pants,Lady Gaga,5,6,5,6,7,15,12,7,5,5
3078,Free Woman (Demo),Lady Gaga,5,5,3,6,5,7,9,3,4,5
3077,Dirty Ice Cream,Lady Gaga,3,8,4,3,10,14,20,5,4,9
3075,Panty Party,Lady Gaga,6,5,7,7,5,13,10,5,3,6
3066,Super Bowl LI Halftime Show,Lady Gaga,18,25,16,24,28,45,59,24,12,35
3062,Reloaded,Lady Gaga,10,8,9,11,6,17,23,7,3,11
3061,Born This Way (The Country Road Version),Lady Gaga,9,9,6,9,14,16,24,9,4,15
3057,Glitter and Grease,Lady Gaga,7,8,8,2,10,12,15,4,4,7
3051,Bang Bang (My Baby Shot Me Down),Lady Gaga,10,4,6,8,5,13,10,7,4,6
3049,Out of Control,Lady Gaga,5,0,1,5,4,6,10,4,0,3
3037,Again Again,Lady Gaga,4,6,3,6,6,6,17,4,4,7
3036,Disco Heaven,Lady Gaga,5,4,3,3,5,10,8,5,3,4
3030,PARTYNAUSEOUS,Lady Gaga,6,5,6,9,7,14,18,7,3,8
3029,Money Honey,Lady Gaga,3,8,3,0,15,5,18,2,7,7
3028,Fashion of His Love,Lady Gaga,8,4,6,6,8,15,17,5,4,7
3026,Stuck on Fuckin’ You,Lady Gaga,5,6,7,6,7,18,15,8,2,7
3025,Summerboy,Lady Gaga,5,11,3,7,8,12,13,6,5,9
3020,Black Jesus + Amen Fashion,Lady Gaga,4,8,3,4,6,10,13,3,3,9
3019,I Like It Rough,Lady Gaga,5,0,3,7,3,11,10,3,2,3
3018,Starstruck,Lady Gaga,2,9,5,7,7,22,25,7,7,15
3017,Highway Unicorn (Road to Love),Lady Gaga,5,4,2,5,4,9,10,9,2,5
3014,The Fame,Lady Gaga,13,6,8,8,6,19,13,6,2,7
3012,Electric Chapel,Lady Gaga,6,5,6,7,8,12,16,6,5,8
3011,Brown Eyes,Lady Gaga,7,5,3,5,5,13,8,4,5,3
3004,Boys Boys Boys,Lady Gaga,6,6,5,8,8,17,17,8,5,8
3002,Hair Body Face,Lady Gaga,5,5,6,7,8,12,16,6,4,7
3001,Before I Cry,Lady Gaga,6,7,4,8,5,10,13,8,3,4
3000,Government Hooker,Lady Gaga,4,5,6,5,5,12,13,6,1,8
2999,Heavy Metal Lover,Lady Gaga,8,5,7,6,9,18,17,6,6,4
2995,Come to Mama,Lady Gaga,7,6,3,8,4,10,10,4,1,8
2994,So Happy I Could Die,Lady Gaga,4,7,3,4,7,9,15,8,3,6
2986,Sinner’s Prayer,Lady Gaga,11,14,13,12,10,21,18,13,7,7
2985,Dance in the Dark,Lady Gaga,8,8,9,9,10,20,17,12,6,7
2983,The Edge of Glory,Lady Gaga,5,4,1,6,4,9,9,5,2,2
2982,Monster,Lady Gaga,5,5,8,8,9,16,20,6,5,11
2980,Dancin’ in Circles,Lady Gaga,8,5,7,9,5,17,11,10,4,5
2979,Hey Girl,Lady Gaga,5,4,4,5,6,10,11,8,4,5
2978,A-YO,Lady Gaga,5,7,3,6,4,14,10,8,2,4
2976,Speechless,Lady Gaga,14,5,10,12,7,22,18,15,6,4
2975,Diamond Heart,Lady Gaga,8,5,8,9,8,16,16,12,6,8
2972,Look What I Found,Lady Gaga,6,4,5,3,7,5,8,5,2,5
2970,1000 Doves,Lady Gaga,9,8,5,11,8,21,18,16,4,10
2965,I’ll Never Love Again (Film Version),Lady Gaga,6,13,7,10,11,19,16,9,5,9
2963,Joanne,Lady Gaga,2,7,3,2,8,4,10,4,4,7
2961,Yoü and I,Lady Gaga,9,10,7,13,10,15,20,11,4,8
2953,Just Dance,Lady Gaga,6,8,6,5,7,15,23,13,6,10
2952,John Wayne,Lady Gaga,9,5,5,8,8,17,13,6,5,6
2951,Judas,Lady Gaga,11,5,13,9,3,25,21,9,3,6
2949,Alejandro,Lady Gaga,8,5,5,11,6,15,16,11,3,5
2947,Paparazzi,Lady Gaga,8,6,4,3,13,16,23,5,3,12
2946,Gypsy,Lady Gaga,5,12,7,6,9,15,21,7,7,8
2945,Babylon,Lady Gaga,2,4,2,1,5,10,12,2,4,6
2943,Telephone,Lady Gaga,6,8,7,8,6,17,14,10,4,9
2941,Perfect Illusion,Lady Gaga,4,4,2,7,5,13,10,9,2,6
2940,Venus,Lady Gaga,7,10,3,11,9,14,21,8,5,9
2939,Applause,Lady Gaga,3,5,3,5,7,11,12,4,11,6
2938,Born This Way,Lady Gaga,11,11,8,12,17,20,27,12,4,17
2937,The Cure,Lady Gaga,6,4,6,7,8,12,13,8,1,7
2934,Million Reasons,Lady Gaga,3,7,6,5,6,12,15,5,4,7
2933,Poker Face,Lady Gaga,8,11,4,7,11,16,19,5,6,8
2932,I’ll Never Love Again (Extended Version),Lady Gaga,6,13,6,10,11,19,17,9,5,11
2930,Bad Romance,Lady Gaga,8,8,8,11,8,17,15,8,4,7
2929,Always Remember Us This Way,Lady Gaga,6,6,4,6,7,13,14,8,4,8
3007,Paper Gangsta,Lady Gaga,6,6,4,4,5,11,22,6,2,7
2971,Jewels N’ Drugs,Lady Gaga,23,17,18,23,13,49,39,21,10,20
3100,Retro Physical,Lady Gaga,11,12,6,9,11,18,20,7,5,11
3099,Wish You Were Here,Lady Gaga,6,5,2,9,3,11,7,5,2,3
3092,No Floods,Lady Gaga,9,11,6,10,7,12,23,5,7,12
