song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
2855,Closer (Live),Maroon 5,6,5,5,7,4,12,8,9,3,4
2805,Not Coming Home,Maroon 5,6,3,6,9,3,12,9,7,0,7
2924,Cold (Sak Noel Remix),Maroon 5,7,7,6,10,4,14,14,8,3,5
2921,Happy (BBC Radio 1 Live Lounge),Maroon 5,7,9,6,8,7,13,17,6,5,8
2876,Wake Up Call (Mark Ronson Remix),Maroon 5,15,12,9,13,9,20,18,9,7,12
2824,Infatuation,Maroon 5,12,10,8,17,5,23,18,15,8,8
2822,Kiss,Maroon 5,3,8,7,6,8,13,17,6,7,6
2814,Shoot Love,Maroon 5,13,5,8,13,7,22,17,9,5,5
2807,Fortune Teller,Maroon 5,8,13,5,15,8,17,18,11,4,10
2803,Give a Little More,Maroon 5,6,4,3,9,4,10,10,8,1,2
2799,Better That We Break,Maroon 5,5,3,4,8,3,16,11,9,4,5
2795,If I Never See Your Face Again,Maroon 5,6,8,4,6,6,13,18,10,3,5
2789,Leaving California,Maroon 5,1,3,3,4,3,12,10,6,3,2
2785,If I Never See Your Face Again (Remix),Maroon 5,6,8,4,6,6,13,18,10,3,5
2779,Plastic Rose,Maroon 5,2,4,1,2,8,5,11,1,2,5
2777,Secret,Maroon 5,4,6,2,6,4,7,12,4,2,4
2771,Nothing Lasts Forever,Maroon 5,13,5,10,14,8,24,21,14,4,14
2769,Feelings,Maroon 5,9,7,8,9,5,16,9,7,4,4
2766,Unkiss Me,Maroon 5,7,9,5,8,8,14,12,8,2,7
2764,Wake Up Call,Maroon 5,15,12,9,13,9,19,18,9,7,12
2763,Closure,Maroon 5,2,5,1,5,5,6,10,4,4,3
2761,Best 4 U,Maroon 5,8,7,5,9,4,12,13,11,3,7
2758,Who I Am,Maroon 5,5,12,4,6,12,7,20,5,5,8
2750,Lips on You,Maroon 5,10,9,4,10,2,18,13,8,1,4
2747,Nobody’s Love,Maroon 5,4,5,2,2,5,7,8,6,3,3
2746,Moves Like Jagger,Maroon 5,9,6,6,8,6,15,14,7,3,8
2743,Animals,Maroon 5,7,6,3,7,5,11,12,6,1,6
2741,Maps,Maroon 5,3,3,2,3,2,7,8,5,1,3
2740,Sugar,Maroon 5,13,3,6,15,5,23,18,15,5,7
2738,Cold,Maroon 5,8,9,7,11,6,16,16,11,4,6
2737,Payphone,Maroon 5,14,15,14,10,9,28,26,12,7,11
2736,One More Night,Maroon 5,15,12,12,15,10,21,19,14,5,7
2735,Don’t Wanna Know,Maroon 5,9,7,7,7,7,16,15,7,3,9
2732,What Lovers Do,Maroon 5,3,4,1,1,6,6,12,0,2,4
2755,Harder to Breathe,Maroon 5,4,6,4,11,4,14,18,7,3,8
2918,Shiver (DJ Quik Remix),Maroon 5,8,5,6,5,6,17,10,9,6,4
2881,I Shall Be Released,Maroon 5,6,3,3,3,1,11,8,7,1,3
2871,Never Gonna Leave This Bed (Acoustic),Maroon 5,4,5,2,5,3,12,14,5,2,9
2843,Until You’re Over Me,Maroon 5,7,9,7,11,7,22,18,12,2,9
2834,"Miss You, Love You",Maroon 5,11,5,6,9,7,17,16,7,2,10
