song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
1372,Fly,Nicki Minaj,12,15,5,15,12,26,26,12,5,15
1356,LLC,Nicki Minaj,22,13,22,23,8,47,27,14,9,13
1396,Blazin’,Nicki Minaj,22,17,12,21,13,31,28,11,10,17
1349,Ganja Burn,Nicki Minaj,11,10,12,13,9,23,29,12,3,14
1423,2 Lit 2 Late Interlude,Nicki Minaj,1,0,0,2,2,2,6,2,0,1
1421,I Get Crazy,Nicki Minaj,13,7,10,10,8,31,27,9,10,16
1420,Put You in a Room,Nicki Minaj,9,3,4,10,3,15,9,13,3,5
1418,Still I Rise,Nicki Minaj,10,5,13,13,7,24,20,12,5,11
1416,Mona Lisa,Nicki Minaj,8,2,4,8,2,16,6,7,1,3
1412,Masquerade,Nicki Minaj,10,4,6,9,5,24,17,13,4,7
1411,Beam Me Up Scotty,Nicki Minaj,11,9,9,17,9,26,25,11,4,13
1410,I Endorse These Strippers,Nicki Minaj,19,12,13,17,13,43,27,12,6,16
1407,Go Hard,Nicki Minaj,24,21,17,20,18,53,47,19,15,20
1406,Save Me,Nicki Minaj,6,3,3,7,5,6,8,3,3,4
1404,Autobiography,Nicki Minaj,20,23,19,25,14,47,41,24,7,20
1401,Right Thru Me,Nicki Minaj,14,11,10,14,9,25,29,9,8,12
1394,Pound the Alarm,Nicki Minaj,7,2,5,7,4,13,6,7,4,4
1393,Va Va Voom,Nicki Minaj,12,5,9,10,10,16,19,7,4,11
1391,Gun Shot,Nicki Minaj,11,10,5,9,10,19,22,10,3,13
1390,Good Form (Remix),Nicki Minaj,20,11,15,20,11,40,24,16,10,14
1387,Freedom,Nicki Minaj,20,12,9,21,8,29,27,16,2,14
1386,Thought I Knew You,Nicki Minaj,9,5,5,8,6,12,13,8,4,7
1382,Your Love,Nicki Minaj,13,16,10,13,14,20,26,12,9,11
1380,Come See About Me,Nicki Minaj,6,5,4,8,5,15,10,10,3,6
1378,Coco Chanel,Nicki Minaj,27,9,20,20,11,46,30,18,12,15
1367,Right By My Side,Nicki Minaj,16,10,12,14,11,27,21,13,7,11
