song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
936,Oh God,Post Malone,6,4,4,7,8,6,10,5,3,6
935,Git Wit U,Post Malone,8,4,7,8,6,17,13,10,0,8
926,Never Understand,Post Malone,7,6,10,10,8,22,15,14,5,8
916,Lonely,Post Malone,11,1,9,8,4,20,13,9,2,5
914,What’s Up,Post Malone,13,6,10,14,4,22,21,9,2,11
913,Up There,Post Malone,5,3,4,8,3,12,12,8,1,6
912,Fuck,Post Malone,13,8,13,13,10,21,22,12,5,13
902,Takin’ Shots,Post Malone,12,14,8,12,14,24,26,13,5,18
901,On the Road,Post Malone,19,12,11,14,13,32,29,16,10,16
898,Enemies,Post Malone,10,7,7,6,10,21,26,13,10,10
897,Sugar Wraith,Post Malone,8,11,8,11,12,18,26,7,6,12
896,Same Bitches,Post Malone,18,8,14,17,7,26,31,15,6,16
895,A Thousand Bad Times,Post Malone,11,5,9,12,5,17,19,12,2,10
891,Feel,Post Malone,9,7,7,8,5,22,20,10,2,8
888,Ball For Me,Post Malone,12,8,9,12,7,21,19,9,4,11
887,92 Explorer,Post Malone,9,3,8,11,6,27,18,10,5,14
884,No Option,Post Malone,9,8,6,5,9,19,20,8,4,9
877,Deja Vu,Post Malone,11,3,7,11,4,24,12,11,5,8
875,Candy Paint,Post Malone,16,6,6,13,10,25,21,8,4,7
867,Congratulations,Post Malone,12,13,11,13,10,19,26,8,5,11
894,Leave,Post Malone,10,4,9,11,2,15,8,11,1,3
921,Wow. (Remix),Post Malone,15,8,12,16,9,26,25,15,7,12
918,Hit This Hard,Post Malone,10,5,7,10,3,15,9,6,2,5
915,Myself,Post Malone,9,0,6,6,0,9,7,6,1,3
909,Money Made Me Do It,Post Malone,14,18,10,14,13,19,32,8,7,16
908,Cold,Post Malone,10,8,7,11,9,22,18,17,7,9
899,Blame It On Me,Post Malone,8,6,8,10,4,17,15,9,2,7
892,Otherside,Post Malone,12,10,11,15,7,25,21,11,4,13
890,Spoil My Night,Post Malone,11,9,5,6,6,15,13,5,3,6
889,Saint-Tropez,Post Malone,12,9,9,11,5,17,15,6,3,7
886,Rich & Sad,Post Malone,16,10,13,12,7,29,20,9,7,13
880,Paranoid,Post Malone,14,16,9,19,11,22,25,12,3,15
879,Feeling Whitney,Post Malone,10,13,7,8,8,17,18,11,4,12
873,Stay,Post Malone,8,7,7,9,4,18,16,8,2,6
868,Psycho,Post Malone,15,9,12,12,10,23,21,9,4,15
866,White Iverson,Post Malone,11,12,5,7,7,20,26,7,5,8
865,​​rockstar,Post Malone,24,10,14,17,13,33,23,15,9,15
925,Monta,Post Malone,10,5,8,9,4,20,14,7,5,5
885,Die For Me,Post Malone,22,11,13,22,5,42,23,22,4,13
932,40 Funk,Post Malone,12,8,8,13,9,33,24,14,6,13
922,Hollywood Dreams / Come Down,Post Malone,7,12,7,11,8,24,25,14,9,7
917,I Know,Post Malone,11,8,12,11,5,16,14,10,4,8
900,Patient,Post Malone,15,9,10,13,10,24,24,11,5,12
876,Goodbyes,Post Malone,12,7,7,13,9,22,17,11,2,8
934,God Damn,Post Malone,9,5,8,7,4,18,17,8,4,8
904,Big Lie,Post Malone,11,8,8,4,6,15,15,4,3,7
905,Staring at the Sun,Post Malone,6,10,3,9,6,12,11,6,7,8
882,Over Now,Post Malone,11,8,8,14,9,19,25,14,8,12
874,Go Flex,Post Malone,13,8,8,9,5,24,18,10,2,9
920,Jonestown (Interlude),Post Malone,1,4,0,2,1,1,3,1,2,1
870,Circles,Post Malone,7,8,6,9,6,12,11,7,2,6
893,Zack and Codeine,Post Malone,10,9,4,7,7,16,16,9,5,7
872,Wow.,Post Malone,9,4,7,7,3,23,13,11,6,8
883,Too Young,Post Malone,11,5,5,11,3,18,15,5,3,6
869,I Fall Apart,Post Malone,12,4,8,11,4,18,11,11,4,5
881,Take What You Want,Post Malone,13,6,10,15,4,23,14,15,4,10
911,Internet,Post Malone,12,3,7,6,2,20,7,6,3,3
903,Broken Whiskey Glass,Post Malone,16,11,11,15,6,33,22,14,4,11
871,Better Now,Post Malone,4,1,4,5,4,12,17,4,0,9
907,"Yours Truly, Austin Post",Post Malone,8,10,8,11,6,14,16,5,6,10
910,I’m Gonna Be,Post Malone,10,8,8,11,5,13,9,6,2,6
878,Hollywood’s Bleeding,Post Malone,12,6,9,12,5,19,12,13,3,5
906,Allergic,Post Malone,7,2,6,7,4,14,9,7,1,5
