song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
2434,Pon de Replay (Remix),Rihanna,3,3,2,5,4,10,10,4,3,4
2424,Question Existing,Rihanna,10,11,8,11,11,26,28,11,7,17
2464,Selfish Girl,Rihanna,16,8,12,14,8,27,20,17,8,14
2463,The Last Time,Rihanna,6,6,9,6,8,19,16,13,4,7
2459,Used To (Nobody),Rihanna,4,5,2,2,5,8,12,2,2,3
2457,Kisses Don’t Lie,Rihanna,11,6,5,14,5,18,19,9,4,11
2456,Let Me,Rihanna,11,8,3,11,9,17,16,7,8,8
2455,Kiss It Better (KAYTRANADA Edition),Rihanna,6,4,2,5,5,10,7,3,3,1
2451,Crazy Little Thing Called Love,Rihanna,8,5,5,10,9,18,20,11,4,11
2449,Here I Go Again,Rihanna,9,17,7,13,11,15,25,9,11,12
2447,There’s a Thug In My Life,Rihanna,12,13,10,11,15,21,28,12,3,16
2443,"You Don’t Love Me (No, No, No)",Rihanna,6,5,4,7,6,10,19,7,2,8
2441,Say It,Rihanna,9,8,9,11,6,15,16,4,6,9
2438,Break It Off,Rihanna,7,11,8,9,11,19,21,9,6,14
2433,Lemme Get That,Rihanna,7,1,5,7,4,17,13,9,2,6
2432,Push Up on Me,Rihanna,4,7,5,6,7,16,16,5,3,11
2431,Sell Me Candy,Rihanna,1,7,4,3,7,14,22,5,5,10
2430,The Last Song,Rihanna,5,11,5,8,12,12,18,8,3,9
2421,Love on the Brain (Gigamesh Remix),Rihanna,4,7,4,3,8,7,12,4,2,7
2418,Roc Me Out,Rihanna,6,6,7,9,4,9,9,5,2,8
2417,Breakin’ Dishes,Rihanna,15,4,8,10,1,22,13,9,2,6
2416,Photographs,Rihanna,10,13,5,12,14,18,24,18,7,13
2413,Fire Bomb,Rihanna,15,11,6,19,8,25,17,17,6,6
2412,G4L,Rihanna,14,7,5,13,6,20,13,8,5,7
2411,If It’s Lovin’ That You Want,Rihanna,7,4,4,8,6,10,10,6,3,8
2409,Wait Your Turn,Rihanna,11,7,8,10,7,19,16,5,7,6
2405,We Ride,Rihanna,8,14,8,9,10,18,22,9,5,10
2404,ROCKSTAR 101,Rihanna,10,10,8,11,6,20,15,8,3,9
2400,Complicated,Rihanna,7,6,4,6,6,10,13,6,4,5
2399,Red Lipstick,Rihanna,9,3,4,6,2,10,10,4,1,6
2397,Cry,Rihanna,9,9,2,8,7,18,11,13,5,6
2395,Do Ya Thang,Rihanna,12,9,9,8,11,17,20,9,9,8
2394,Raining Men,Rihanna,6,11,5,9,9,22,21,11,4,13
2391,Right Now,Rihanna,9,6,5,9,3,13,4,5,5,1
2390,SOS,Rihanna,12,11,8,12,8,27,26,16,4,11
2388,Shut Up and Drive,Rihanna,11,8,6,11,4,17,11,8,4,6
2387,Watch n’ Learn,Rihanna,2,6,2,5,4,6,13,6,3,5
2386,Where Have You Been,Rihanna,2,2,1,4,2,7,7,3,0,1
2378,You Da One,Rihanna,6,8,2,4,9,11,12,5,4,6
2375,Nobody’s Business,Rihanna,3,5,4,5,7,8,11,6,2,5
2370,Birthday Cake,Rihanna,1,4,2,4,4,5,6,2,2,2
2367,Talk That Talk,Rihanna,8,6,6,9,7,10,14,7,1,5
2365,Skin,Rihanna,9,7,4,10,3,20,9,7,5,5
2360,Rehab,Rihanna,12,7,6,11,9,16,17,13,6,6
2359,Rude Boy,Rihanna,3,4,0,5,3,7,11,4,2,4
2357,Don’t Stop the Music,Rihanna,4,10,2,7,8,14,21,9,4,14
2356,Take a Bow,Rihanna,6,8,7,4,9,16,21,8,3,12
2355,Only Girl (In the World),Rihanna,7,1,4,6,4,10,8,8,2,2
2348,Birthday Cake (Remix),Rihanna,13,16,7,15,13,18,21,11,9,10
2345,Woo,Rihanna,8,4,5,8,5,10,13,10,2,6
2340,"Love the Way You Lie, Pt. II",Rihanna,24,14,14,20,16,40,31,19,16,15
2339,Loveeeeeee Song,Rihanna,8,9,5,12,10,20,22,9,5,11
2337,What’s My Name?,Rihanna,8,6,4,7,4,16,17,7,4,9
2336,Umbrella,Rihanna,4,11,3,6,12,10,24,6,5,11
2333,Consideration,Rihanna,7,9,7,7,9,13,20,5,3,13
2331,Sex with Me,Rihanna,10,6,6,8,5,14,10,8,2,3
2330,Kiss It Better,Rihanna,6,4,2,5,5,10,7,3,3,1
2328,Needed Me,Rihanna,13,4,6,7,6,15,13,6,4,7
2327,Love on the Brain,Rihanna,11,10,7,9,11,19,21,10,4,11
2326,Work,Rihanna,12,12,8,15,12,26,34,16,7,16
2338,Same Ol’ Mistakes,Rihanna,10,9,9,9,5,19,20,10,5,10
2461,Music of the Sun,Rihanna,6,7,3,8,6,13,18,9,4,10
2452,Dem Haters,Rihanna,11,5,11,10,7,22,16,15,2,13
2450,A Million Miles Away,Rihanna,8,5,3,9,3,11,12,5,2,2
2448,Final Goodbye,Rihanna,3,8,4,5,6,8,13,6,3,6
2440,Work (R3HAB Remix),Rihanna,10,10,5,12,7,22,28,13,4,12
2414,Fading,Rihanna,8,11,4,9,5,16,17,8,4,9
2398,Good Girl Gone Bad,Rihanna,4,5,6,5,4,12,18,7,4,9
2389,Towards the Sun,Rihanna,3,4,3,4,5,10,15,6,4,8
2374,Cockiness (Love It),Rihanna,9,6,4,9,8,18,22,10,1,10
2371,Cockiness (Love It) (Remix),Rihanna,13,9,8,14,12,31,24,15,1,12
2364,Jump,Rihanna,5,9,6,6,7,12,12,7,5,7
2352,We Found Love,Rihanna,12,6,9,12,10,18,19,11,7,8
2350,Never Ending,Rihanna,3,6,3,5,5,9,13,3,4,4
2458,"That La, La, La",Rihanna,5,6,4,4,8,12,19,10,5,8
2419,Hate That I Love You (K-Klassic),Rihanna,8,3,4,5,5,10,13,6,4,4
2392,Stupid In Love,Rihanna,7,3,7,5,3,15,8,5,4,5
2385,Hate That I Love You,Rihanna,8,3,4,5,5,10,13,6,4,4
2349,S&M,Rihanna,8,7,5,10,7,15,11,10,5,7
2335,Desperado,Rihanna,1,3,1,4,4,6,13,7,1,4
2410,Farewell,Rihanna,4,2,2,4,1,7,6,5,3,2
2401,Drunk on Love,Rihanna,5,6,7,5,6,18,8,8,5,4
2407,Fool in Love,Rihanna,5,5,6,6,9,17,11,8,3,9
2383,Hard,Rihanna,17,9,14,13,4,30,29,15,3,11
2439,Just Feel It,Rihanna,8,2,2,6,1,10,5,2,1,1
2376,Get It Over With,Rihanna,4,7,2,7,5,8,11,6,4,5
2372,Te Amo,Rihanna,4,5,1,7,5,11,14,5,4,3
