song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
3850,Come & Get It (Fred Falke Club Remix),Selena Gomez,4,8,4,7,4,10,11,8,2,4
3849,Come & Get It (DJ M3 Mixshow Extended Remix),Selena Gomez,4,8,4,7,4,10,11,8,2,4
3848,Come & Get It (Dave Audé Club Remix),Selena Gomez,4,8,4,7,4,10,11,8,2,4
3830,Come & Get It (Cahill Club Remix),Selena Gomez,4,8,4,6,4,9,11,8,2,4
3828,Slow Down (Danny Verde Remix),Selena Gomez,5,9,3,6,4,11,15,9,5,5
3824,Slow Down (Jason Nevins Remix),Selena Gomez,5,8,3,5,4,10,14,8,5,5
3818,Slow Down (DJLW Remix),Selena Gomez,5,6,3,5,3,10,12,7,5,4
3814,Slow Down (Smash Mode Remix),Selena Gomez,5,8,3,5,4,10,15,8,5,5
3809,Come & Get It (Jump Smokers Extended Remix),Selena Gomez,2,6,2,4,4,8,10,5,0,4
3808,Slow Down (Chew Fu Refix),Selena Gomez,5,8,3,5,4,10,14,8,5,5
3787,Come & Get It (Cosmic Dawn Club Remix),Selena Gomez,4,8,4,7,4,10,11,8,3,4
3785,Slow Down (Paolo Ortelli & Luke Degree Remix),Selena Gomez,5,8,3,5,4,10,14,8,5,5
3774,A Year Without Rain (Dave Audé Radio Remix),Selena Gomez,7,8,3,7,10,15,21,12,2,10
3757,Fetish (Galantis Remix),Selena Gomez,4,2,3,2,5,15,10,8,3,2
3756,Give You Up,Selena Gomez,6,17,4,14,11,17,23,8,7,11
3755,Congratulations to Me,Selena Gomez,11,12,10,13,8,16,21,9,4,15
3749,Back to You (Riton & Kah-Lo Remix),Selena Gomez,11,11,9,12,10,20,25,10,8,11
3742,I Like It That Way,Selena Gomez,6,0,4,6,4,9,10,5,0,6
3736,Save the Day,Selena Gomez,6,9,5,4,8,12,12,10,7,6
3735,Do It,Selena Gomez,6,1,6,6,4,8,11,7,0,7
3732,Like A Champion,Selena Gomez,9,5,2,7,6,8,13,4,3,6
3725,Undercover,Selena Gomez,6,10,4,8,8,9,11,7,4,8
3722,Birthday,Selena Gomez,2,9,2,6,9,9,13,6,7,6
3720,Body Heat,Selena Gomez,5,6,4,8,7,10,11,5,4,4
3708,Slow Down,Selena Gomez,5,8,3,5,4,10,15,8,5,5
3707,She,Selena Gomez,8,8,5,8,5,10,20,9,5,7
3705,Kinda Crazy,Selena Gomez,8,10,6,9,10,15,16,8,5,9
3701,Come & Get It,Selena Gomez,4,8,4,7,4,10,11,8,2,4
3699,Perfect,Selena Gomez,7,4,5,7,7,13,14,8,4,4
3696,A Sweeter Place,Selena Gomez,8,7,3,7,5,11,15,7,5,6
3693,Ring,Selena Gomez,5,2,5,11,3,13,11,5,3,5
3691,Boyfriend,Selena Gomez,7,5,4,6,7,9,12,3,2,6
3688,Rare,Selena Gomez,3,4,2,4,6,9,12,6,1,5
3686,Feel Me,Selena Gomez,4,5,3,5,5,7,12,6,2,3
3684,The Heart Wants What It Wants,Selena Gomez,6,17,4,14,11,17,23,8,7,11
3683,Good for You,Selena Gomez,13,5,11,14,7,30,16,11,6,10
3681,Bad Liar,Selena Gomez,12,11,8,16,9,18,22,9,7,10
3680,Fetish,Selena Gomez,4,2,3,2,5,15,10,8,3,2
3846,Same Old Love (Wuki Remix),Selena Gomez,7,4,6,7,4,11,13,6,2,3
3833,Same Old Love (Romos Remix),Selena Gomez,5,4,5,7,4,9,13,6,2,3
3832,Same Old Love (Filous Remix),Selena Gomez,7,4,6,7,4,11,13,6,2,3
3826,Kill Em with Kindness (Young Bombs Remix),Selena Gomez,10,2,5,10,2,16,11,9,1,4
3823,Same Old Love (Borgore Remix),Selena Gomez,7,4,6,7,4,11,13,6,2,3
3821,Kill Em with Kindness (River Tiber Remix),Selena Gomez,10,2,5,10,2,16,11,9,1,4
3815,Love Will Remember (Demo),Selena Gomez,3,7,2,4,6,9,19,4,5,8
3791,Kill Em with Kindness (Felix Cartal Remix),Selena Gomez,10,2,5,10,2,16,11,9,1,4
3762,Bang A Drum,Selena Gomez,5,5,3,4,3,8,11,7,4,6
3746,Cruella De Vil,Selena Gomez,13,8,10,18,3,22,13,10,4,6
3726,B.E.A.T.,Selena Gomez,3,2,4,5,3,10,5,6,2,3
3724,Stars Dance,Selena Gomez,7,3,3,10,4,13,13,9,3,6
3716,Rise,Selena Gomez,8,11,5,10,10,13,18,11,7,15
3715,Love Will Remember,Selena Gomez,3,7,2,4,7,9,20,4,5,9
3714,Me & The Rhythm,Selena Gomez,9,6,6,9,5,13,15,7,4,8
3710,Fun,Selena Gomez,4,6,2,4,7,11,16,3,2,10
3698,Cut You Off,Selena Gomez,6,6,4,6,7,12,21,6,2,15
3692,Kill Em With Kindness,Selena Gomez,10,2,5,10,2,16,11,9,1,4
3687,Same Old Love,Selena Gomez,7,5,6,8,5,11,15,6,2,6
3678,Lose You To Love Me,Selena Gomez,10,7,7,10,6,19,15,12,3,11
3703,Revival,Selena Gomez,13,11,7,19,7,21,21,11,6,13
3690,Vulnerable,Selena Gomez,4,9,3,5,4,12,13,7,5,5
3747,Bidi Bidi Bom Bom,Selena Gomez,1,0,1,0,0,1,0,0,0,0
3697,De Una Vez,Selena Gomez,2,2,1,2,0,5,2,1,0,2
3772,Magical,Selena Gomez,5,9,4,8,6,14,15,8,4,7
3771,Forget Forever (ST£FAN Remix),Selena Gomez,4,3,3,8,4,12,10,7,1,5
3731,Forget Forever,Selena Gomez,4,3,3,8,4,12,10,7,1,5
3721,Outta My Hands (Loco),Selena Gomez,3,3,3,6,4,7,8,3,2,4
3711,Camouflage,Selena Gomez,6,8,4,8,6,14,13,9,6,7
3700,Dance Again,Selena Gomez,8,14,7,8,10,13,17,10,5,14
3679,Back to You,Selena Gomez,11,7,6,12,5,20,16,10,5,7
3801,Good For You (Kasbo Remix),Selena Gomez,10,4,9,9,5,23,11,8,5,5
3704,Let Me Get Me,Selena Gomez,8,9,7,8,7,14,15,5,7,10
3689,Souvenir,Selena Gomez,5,8,5,4,6,12,19,5,4,7
3729,Everything Is Not What It Seems (Wizards of Waverly Place Full Theme Song),Selena Gomez,4,1,5,10,3,17,12,9,4,7
3706,Everything Is Not As It Seems,Selena Gomez,2,1,3,6,1,9,6,6,1,1
3777,Trust In Me,Selena Gomez,3,1,4,3,1,9,4,5,2,3
3733,Nobody Does It Like You,Selena Gomez,7,2,3,9,4,11,12,5,2,4
3717,Cologne,Selena Gomez,4,4,2,5,4,9,9,5,1,3
3773,Shake It Up (Theme Song) [Cole Plante Reboot Remix],Selena Gomez,3,1,2,3,1,6,7,2,1,3
3718,Shake It Up,Selena Gomez,4,1,2,3,1,9,7,2,1,3
3852,Hands to Myself (Fareoh Remix),Selena Gomez,2,2,4,3,3,4,7,3,1,4
3851,Hands to Myself (Betablock3r Remix),Selena Gomez,2,2,4,3,3,4,7,3,1,4
3763,Disappear,Selena Gomez,8,6,5,8,1,16,11,9,6,4
3750,Music Feels Better,Selena Gomez,3,0,1,3,3,5,6,4,0,2
3748,Lover In Me,Selena Gomez,2,4,1,3,5,2,10,4,1,7
3713,Stained,Selena Gomez,10,1,8,9,4,14,10,8,2,4
3709,Me & My Girls,Selena Gomez,5,6,5,3,4,12,8,7,4,6
3685,Hands to Myself,Selena Gomez,3,3,6,6,4,7,9,5,2,5
3743,Sad Serenade,Selena Gomez,8,4,4,9,3,14,10,10,2,3
3840,Come & Get It (Robert DeLong Remix),Selena Gomez,1,2,1,1,0,1,0,1,0,0
3712,Nobody,Selena Gomez,3,3,1,4,3,6,10,6,2,5
3702,Sober,Selena Gomez,2,4,4,3,3,11,6,5,5,2
3695,Only You,Selena Gomez,2,3,2,2,2,4,5,3,2,1
3682,Look At Her Now,Selena Gomez,4,7,5,9,7,16,11,7,2,8
3737,Write Your Name,Selena Gomez,6,5,5,7,6,15,12,9,5,7
3745,Fly to Your Heart,Selena Gomez,3,5,3,4,5,9,9,5,3,3
3719,Survivors,Selena Gomez,11,7,6,11,6,15,10,12,6,8
3694,People You Know,Selena Gomez,8,3,7,8,3,14,8,8,4,3
3739,Magic,Selena Gomez,4,3,2,3,4,4,7,4,3,3
3766,Beautifully Disturbed,Selena Gomez,1,1,0,2,0,1,1,1,0,0
