song_id,title,artist,anger_score,anticipation_score,disgust_score,fear_score,joy_score,negative_score,positive_score,sadness_score,surprise_score,trust_score
5672,Fearless,Taylor Swift,5,6,3,4,6,12,20,3,3,13
5643,Reputation [Prologue],Taylor Swift,20,25,20,19,26,40,54,20,16,35
5655,Long Live,Taylor Swift,16,19,13,20,13,39,22,11,11,16
5670,Picture to Burn,Taylor Swift,9,10,7,10,7,12,16,10,3,12
5669,Our Song,Taylor Swift,11,8,6,11,9,21,21,9,7,8
5667,Sparks Fly,Taylor Swift,6,9,3,10,9,14,23,4,8,13
5657,The Moment I Knew,Taylor Swift,8,16,6,13,14,19,25,12,9,11
5639,I Know Places,Taylor Swift,9,7,6,11,5,19,13,13,2,6
5638,Safe & Sound,Taylor Swift,6,4,5,7,5,13,12,7,3,5
5631,Lover (Remix),Taylor Swift,10,5,9,14,9,19,24,11,4,12
5628,New Romantics,Taylor Swift,10,10,5,10,7,29,14,14,3,8
5626,We Are Never Ever Getting Back Together,Taylor Swift,6,6,4,11,7,14,20,6,4,10
5621,You Belong with Me,Taylor Swift,7,7,4,5,10,12,18,6,5,9
5620,Out of the Woods,Taylor Swift,7,9,9,8,9,17,17,9,7,8
5619,Shake It Off,Taylor Swift,9,4,10,7,6,19,13,10,5,5
5615,​cowboy like me,Taylor Swift,5,11,4,9,11,17,21,6,4,9
5611,​coney island,Taylor Swift,11,16,12,13,15,31,33,20,12,15
5610,Dancing with Our Hands Tied,Taylor Swift,7,9,5,10,10,12,21,9,5,9
5609,I Think He Knows,Taylor Swift,2,7,3,2,7,9,12,4,4,5
5607,This is Why We Can’t Have Nice Things,Taylor Swift,9,7,4,11,10,19,27,8,7,11
5606,So It Goes...,Taylor Swift,9,4,8,12,5,18,12,13,7,7
5605,Paper Rings,Taylor Swift,4,9,5,9,7,21,17,9,4,7
5601,Death by a Thousand Cuts,Taylor Swift,7,10,7,9,5,18,18,8,4,9
5598,King of My Heart,Taylor Swift,4,4,2,8,8,10,15,9,1,4
5594,Cornelia Street,Taylor Swift,7,8,5,7,8,13,19,7,7,13
5591,Bad Blood,Taylor Swift,8,3,7,9,7,15,15,8,3,8
5583,Love Story,Taylor Swift,14,13,8,17,9,29,23,14,6,11
5579,Don’t Blame Me,Taylor Swift,10,5,8,10,4,14,11,11,5,4
5571,​illicit affairs,Taylor Swift,16,11,18,14,9,29,24,15,5,13
5568,Bad Blood (Remix),Taylor Swift,19,8,11,20,7,33,25,15,4,11
5567,Cruel Summer,Taylor Swift,11,12,11,15,9,19,19,15,7,12
5566,Call It What You Want,Taylor Swift,7,9,6,8,12,23,24,10,3,14
5563,​invisible string,Taylor Swift,11,12,8,10,13,21,23,13,8,13
5559,Blank Space,Taylor Swift,21,16,15,21,15,39,29,17,9,15
5558,...Ready for It?,Taylor Swift,6,3,6,15,3,19,11,13,2,2
5555,ME!,Taylor Swift,4,2,1,4,8,12,13,6,1,5
5551,​the 1,Taylor Swift,10,13,6,8,11,17,28,10,5,17
5548,​cardigan,Taylor Swift,13,11,14,13,11,26,19,10,7,9
5593,London Boy,Taylor Swift,3,13,3,6,15,10,25,8,7,13
5585,"​no body, no crime",Taylor Swift,9,3,9,9,6,18,15,7,3,13
5636,Dear John,Taylor Swift,6,8,8,12,7,20,22,14,3,10
5677,Breathe,Taylor Swift,6,7,3,10,9,14,17,13,5,10
5674,Starlight,Taylor Swift,6,6,3,8,5,19,19,12,5,6
5673,White Horse,Taylor Swift,7,5,4,5,5,20,19,10,5,10
5671,The Story of Us,Taylor Swift,14,10,8,16,8,30,22,16,7,8
5665,I Almost Do,Taylor Swift,8,7,9,9,3,16,12,6,2,5
5664,The Lucky One,Taylor Swift,8,9,5,8,12,15,23,9,6,15
5663,Sad Beautiful Tragic,Taylor Swift,7,10,6,6,9,15,13,8,6,8
5652,Mine,Taylor Swift,14,13,8,15,8,28,20,16,6,9
5651,Holy Ground,Taylor Swift,7,6,7,6,7,15,15,7,5,10
5649,Last Kiss,Taylor Swift,8,10,6,8,9,14,23,8,5,11
5647,Enchanted,Taylor Swift,10,16,5,10,15,20,30,12,13,17
5646,I Wish You Would,Taylor Swift,7,7,7,6,5,13,13,7,3,4
5644,If You’re Anything Like Me [Poem],Taylor Swift,16,14,9,23,17,33,35,18,8,18
5637,State of Grace,Taylor Swift,10,7,7,12,7,21,23,12,7,8
5635,Everything Has Changed,Taylor Swift,5,7,7,8,9,13,16,8,5,8
5632,You Are in Love,Taylor Swift,5,5,2,6,7,15,15,6,4,7
5630,22,Taylor Swift,10,8,6,9,7,16,17,10,5,7
5629,​it’s time to go,Taylor Swift,7,6,6,8,6,19,20,6,4,9
5625,I Knew You Were Trouble.,Taylor Swift,9,4,5,6,3,16,8,7,2,5
5618,Clean,Taylor Swift,6,8,7,9,6,21,14,10,6,11
5616,​l​ong story short,Taylor Swift,10,10,7,10,5,28,21,10,6,6
5613,​dorothea,Taylor Swift,7,2,5,7,2,14,13,8,1,7
5612,Afterglow,Taylor Swift,10,5,4,11,4,21,14,14,3,5
5603,​the lakes,Taylor Swift,5,8,1,8,5,13,16,10,1,9
5602,I Forgot That You Existed,Taylor Swift,10,13,6,9,10,16,18,8,9,12
5595,All Too Well,Taylor Swift,14,9,14,11,9,24,24,18,5,15
5590,​tolerate it,Taylor Swift,11,14,7,8,10,24,24,11,8,9
5589,​gold rush,Taylor Swift,11,7,8,10,7,21,22,13,2,7
5588,The Archer,Taylor Swift,10,7,7,13,8,15,16,10,5,8
5586,Getaway Car,Taylor Swift,20,11,11,17,8,29,19,17,10,10
5584,​happiness,Taylor Swift,13,15,13,14,16,35,34,18,11,20
5581,Dress,Taylor Swift,7,11,4,10,3,19,18,9,4,12
5576,​mad woman,Taylor Swift,18,8,10,17,3,26,15,10,5,9
5575,​peace,Taylor Swift,11,9,9,14,8,24,19,13,6,10
5573,Gorgeous,Taylor Swift,11,8,9,14,8,22,21,18,4,11
5570,​seven,Taylor Swift,17,9,9,18,8,24,20,12,8,3
5561,​willow,Taylor Swift,9,8,7,11,4,19,16,11,5,9
5560,​my tears ricochet,Taylor Swift,23,10,16,21,9,33,23,16,7,11
5556,You Need To Calm Down,Taylor Swift,14,9,11,15,8,20,24,10,6,10
5553,​betty,Taylor Swift,13,12,10,10,12,22,28,11,5,14
5552,Look What You Made Me Do,Taylor Swift,8,6,5,4,4,12,13,5,2,5
5550,Lover,Taylor Swift,12,6,7,15,7,23,19,12,5,10
5676,Come Back... Be Here,Taylor Swift,8,8,7,7,5,16,14,11,7,5
5653,Treacherous,Taylor Swift,6,5,4,6,4,11,14,6,5,4
5633,Wonderland,Taylor Swift,9,5,4,10,8,20,19,8,5,7
5599,​’tis the damn season,Taylor Swift,8,11,9,10,7,25,15,11,5,11
5587,​epiphany,Taylor Swift,5,4,7,8,5,17,10,9,1,6
5562,​champagne problems,Taylor Swift,10,9,8,14,10,26,24,13,7,11
5660,The Last Time,Taylor Swift,4,6,1,8,2,7,11,6,3,4
5623,​closure,Taylor Swift,7,6,6,6,4,14,11,8,2,4
5659,Better Than Revenge,Taylor Swift,11,12,5,10,9,19,22,9,10,19
5569,Style,Taylor Swift,4,7,6,4,3,15,12,5,4,5
5574,​evermore,Taylor Swift,14,10,9,17,3,30,12,15,6,8
5564,​the last great american dynasty,Taylor Swift,14,11,12,15,11,24,30,14,6,12
5549,​exile,Taylor Swift,7,4,6,9,4,16,18,10,6,4
5572,​this is me trying,Taylor Swift,15,2,7,13,1,27,7,9,1,4
5592,Miss Americana & The Heartbreak Prince,Taylor Swift,15,14,6,18,10,28,22,20,10,14
